tissue_site,cell_type_clean,Cell_subtype,total_cells,n_sample_subtypes,mean_cells_per_sample,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
primary_tumor,Myeloid cells,Alveolar Mac,1280,6,213.33333333333334,0.06724333515051002,0.033464898827245945,1.1696980175062612,2.3133501206810094,0.6852200422850383,0.5557467902565366,0.26956486547081104
primary_tumor,Myeloid cells,CD163+CD14+ DCs,616,8,77.0,0.10336572509577628,0.0901919864599415,1.4171365767565234,1.0417120666735906,0.7059732070690362,0.7230199638645334,0.26147921830209764
primary_tumor,Myeloid cells,CD1c+ DCs,478,7,68.28571428571429,0.1183133222200107,0.06570446943882487,0.8324536398518374,0.4835894810904318,0.7317152967871562,0.6521477963815101,0.12745390648342264
primary_tumor,Myeloid cells,CD207+CD1a+ LCs,56,2,28.0,0.14414314240277779,0.03785822397222222,0.2953042771111111,0.275442251875,0.5376207369166667,0.6156664019166667,0.2719610125555556
primary_tumor,Myeloid cells,Monocytes,610,9,67.77777777777777,0.056200429707013916,0.07680660770797902,2.338518256062891,0.34369179897945523,0.6511616162472087,0.5512358503877051,0.08999976422437293
primary_tumor,Myeloid cells,Undetermined,455,9,50.55555555555556,0.035467942709782666,0.03429532452283795,0.47676199352798565,1.170330379656837,0.4706498689424051,0.4825413041315364,0.1851411534972533
primary_tumor,Myeloid cells,mo-Mac,4678,11,425.27272727272725,0.09355812962162123,0.040336764532263945,1.0227199077984528,2.1928865260614754,0.6406022209122827,0.5540369992838656,0.18499578166481462
primary_tumor,Myeloid cells,pDCs,66,3,22.0,0.031330337846477194,0.7064028511553423,0.06033867033659577,0.24464563991938015,0.42757129361158164,0.34743835449714533,0.254174144711086
primary_tumor,NK cells,NK,438,7,62.57142857142857,0.18127992489769457,2.789160982766678,0.10196232507233731,0.16933586970896816,0.32453945296240355,0.4199053653786941,0.15161121568492825
primary_tumor,T lymphocytes,CD4+ Th,3571,11,324.6363636363636,0.12610953892649418,0.45870626266803993,0.0765827874348267,0.1360515333545841,0.4456399986358884,0.44517866068156253,0.15381849565254244
primary_tumor,T lymphocytes,CD8 low T,763,10,76.3,0.2414167250996516,1.0625808509957833,0.08835290170715314,0.1543782385490565,0.36162094632644154,0.406290665555568,0.18218385654060557
primary_tumor,T lymphocytes,CD8+/CD4+ Mixed Th,2447,4,611.75,0.1950473235847019,0.5166313748034713,0.06824862225142793,0.10691174255885745,0.41471940943121294,0.47500356266356875,0.20391667894862295
primary_tumor,T lymphocytes,Cytotoxic CD8+ T,368,8,46.0,0.1880046083983591,1.7636479481631848,0.09517919099942339,0.17144654635882542,0.3725491170668081,0.43120838407656487,0.17672957637701284
primary_tumor,T lymphocytes,Exhausted CD8+ T,1746,10,174.6,0.37775552103402377,1.4421625970365597,0.07986157786664398,0.14904843253091682,0.44075997787159127,0.49093495290365974,0.22195381107448986
primary_tumor,T lymphocytes,Exhausted Tfh,320,1,320.0,0.60047848475,0.5025350107500001,0.10830883568750001,0.22250202015624998,0.44685146556250005,0.625998322375,0.2751946399375
primary_tumor,T lymphocytes,NK,177,3,59.0,0.20891766362687517,1.9495642202061403,0.025283225339435545,0.18323643202498094,0.40341410729697436,0.5032246813961353,0.1709820797280702
primary_tumor,T lymphocytes,Naive CD4+ T,1724,9,191.55555555555554,0.09866613315954648,0.11375206166501489,0.0897873619976696,0.13037784313552436,0.32552848980061494,0.3629573688790024,0.1478252423569693
primary_tumor,T lymphocytes,Naive CD8+ T,172,5,34.4,0.21479975971438153,0.9323572538726401,0.11007577704808783,0.1517230723831867,0.3366591599707737,0.3128072332846981,0.16616463234995413
primary_tumor,T lymphocytes,Treg,1608,11,146.1818181818182,0.4825862574520529,0.0947405566315853,0.07040109184821745,0.1411932522222036,0.3181689762789954,0.5132352708376775,0.18798363646854555
primary_tumor,T lymphocytes,Undetermined,185,4,46.25,0.3739080699868465,1.1816724732611554,0.08871844337870463,0.1783325211018981,0.5365371109512987,0.7102002766276224,1.7328210698179323
