tissue_site,cell_type_clean,Cell_subtype,n_cells,total_cells,fraction
advanced_airway_tumor,T lymphocytes,Exhausted Tfh,38,30496,0.001246065057712487
advanced_airway_tumor,T lymphocytes,NK,242,30496,0.007935466946484785
advanced_airway_tumor,T lymphocytes,Naive CD4+ T,2167,30496,0.07105849947534103
advanced_airway_tumor,T lymphocytes,Naive CD8+ T,336,30496,0.011017838405036727
advanced_airway_tumor,T lymphocytes,Treg,979,30496,0.032102570828961174
advanced_airway_tumor,T lymphocytes,Undetermined,163,30496,0.005344963273871984
non_smoker_lung,B lymphocytes,Follicular B cells,675,26185,0.0257781172426962
non_smoker_lung,B lymphocytes,GC B cells in the DZ,1,26185,3.818980332251289e-05
non_smoker_lung,B lymphocytes,GrB-secreting B cells,4,26185,0.00015275921329005156
non_smoker_lung,B lymphocytes,MALT B cells,326,26185,0.012449875883139202
non_smoker_lung,B lymphocytes,Plasma cells,299,26185,0.011418751193431354
non_smoker_lung,B lymphocytes,Undetermined,6,26185,0.00022913881993507734
non_smoker_lung,Epithelial cells,Malignant cells,15423,26185,0.5890013366431163
non_smoker_lung,Fibroblasts,FB-like cells,200,26185,0.007637960664502578
non_smoker_lung,Fibroblasts,Lymphatic ECs,2,26185,7.637960664502578e-05
non_smoker_lung,Fibroblasts,Myofibroblasts,10,26185,0.0003818980332251289
non_smoker_lung,Fibroblasts,Pericytes,217,26185,0.008287187320985297
non_smoker_lung,Fibroblasts,Smooth muscle cells,8,26185,0.0003055184265801031
non_smoker_lung,Fibroblasts,Stalk-like ECs,2,26185,7.637960664502578e-05
non_smoker_lung,Fibroblasts,Tumor ECs,155,26185,0.005919419514989498
non_smoker_lung,Fibroblasts,Undetermined,9,26185,0.000343708229902616
non_smoker_lung,MAST cells,MAST,508,26185,0.01940042008783655
non_smoker_lung,Myeloid cells,Activated DCs,3,26185,0.00011456940996753867
non_smoker_lung,Myeloid cells,Alveolar Mac,133,26185,0.005079243841894214
non_smoker_lung,Myeloid cells,CD141+ DCs,16,26185,0.0006110368531602062
non_smoker_lung,Myeloid cells,CD163+CD14+ DCs,177,26185,0.0067595951880847814
non_smoker_lung,Myeloid cells,CD1c+ DCs,37,26185,0.0014130227229329768
non_smoker_lung,Myeloid cells,CD207+CD1a+ LCs,15,26185,0.0005728470498376934
non_smoker_lung,Myeloid cells,Microglia/Mac,563,26185,0.021500859270574758
non_smoker_lung,Myeloid cells,Monocytes,251,26185,0.009585640633950735
non_smoker_lung,Myeloid cells,Pleural Mac,73,26185,0.002787855642543441
non_smoker_lung,Myeloid cells,Undetermined,445,26185,0.016994462478518237
non_smoker_lung,Myeloid cells,mo-Mac,3942,26185,0.1505442046973458
non_smoker_lung,Myeloid cells,pDCs,2,26185,7.637960664502578e-05
non_smoker_lung,NK cells,CD4+ Th,3,26185,0.00011456940996753867
non_smoker_lung,NK cells,CD8 low T,25,26185,0.0009547450830628223
non_smoker_lung,NK cells,Cytotoxic CD8+ T,7,26185,0.00026732862325759023
non_smoker_lung,NK cells,Exhausted CD8+ T,1,26185,3.818980332251289e-05
non_smoker_lung,NK cells,NK,301,26185,0.01149513080007638
non_smoker_lung,NK cells,Naive CD4+ T,3,26185,0.00011456940996753867
non_smoker_lung,NK cells,Undetermined,14,26185,0.0005346572465151805
non_smoker_lung,T lymphocytes,CD4+ Th,337,26185,0.012869963719686843
non_smoker_lung,T lymphocytes,CD8 low T,121,26185,0.00462096620202406
non_smoker_lung,T lymphocytes,CD8+/CD4+ Mixed Th,38,26185,0.0014512125262554898
non_smoker_lung,T lymphocytes,Cytotoxic CD8+ T,29,26185,0.0011075042963528737
